id	t	x	y	z
Trace 100	0	-59480.575	40725.1625	40725.1625
Trace 100	1	-59480.9	40726.4625	40726.4625
Trace 100	2	-59477.4875	40725.4875	40725.4875
Trace 100	3	-59476.1875	40725.65	40725.65
Trace 100	4	-59474.2375	40730.85	40730.85
Trace 100	5	-59472.775	40730.3625	40730.3625
Trace 100	6	-59470.9875	40732.15	40732.15
Trace 100	7	-59469.3625	40732.475	40732.475
Trace 100	8	-59469.525	40733.45	40733.45
Trace 100	9	-59468.225	40734.9125	40734.9125
Trace 100	10	-59466.1125	40736.05	40736.05
Trace 100	11	-59466.4375	40737.35	40737.35
Trace 100	12	-59466.4375	40738.325	40738.325
Trace 100	13	-59465.1375	40739.3	40739.3
Trace 100	14	-59463.1875	40737.025	40737.025
Trace 100	15	-59462.7	40736.7	40736.7
Trace 100	16	-59462.375	40737.5125	40737.5125
Trace 101	0	-59516.4875	40722.4	40722.4
Trace 101	1	-59516.65	40720.9375	40720.9375
Trace 101	2	-59513.725	40720.9375	40720.9375
Trace 101	3	-59510.9625	40721.1	40721.1
Trace 101	4	-59507.0625	40721.425	40721.425
Trace 101	5	-59504.625	40722.2375	40722.2375
Trace 101	6	-59501.7	40722.4	40722.4
Trace 101	7	-59500.725	40722.725	40722.725
Trace 101	8	-59500.075	40723.05	40723.05
Trace 101	9	-59499.425	40723.8625	40723.8625
Trace 101	10	-59497.9625	40723.8625	40723.8625
Trace 101	11	-59498.125	40724.1875	40724.1875
Trace 101	12	-59497.15	40724.675	40724.675
Trace 101	13	-59497.15	40724.1875	40724.1875
Trace 101	14	-59497.475	40724.675	40724.675
Trace 101	15	-59497.3125	40724.35	40724.35
Trace 101	16	-59496.9875	40723.7	40723.7
Trace 103	0	-59688.0875	40695.2625	40695.2625
Trace 103	1	-59681.1	40696.075	40696.075
Trace 103	2	-59679.15	40702.4125	40702.4125
Trace 103	3	-59677.525	40691.6875	40691.6875
Trace 103	4	-59681.5875	40691.6875	40691.6875
Trace 103	5	-59672.4875	40690.7125	40690.7125
Trace 103	6	-59667.775	40691.2	40691.2
Trace 103	7	-59673.1375	40692.9875	40692.9875
Trace 103	8	-59674.1125	40691.3625	40691.3625
Trace 104	0	-59878.2125	40687.7875	40687.7875
Trace 104	1	-59878.05	40687.4625	40687.4625
Trace 104	2	-59875.2875	40685.1875	40685.1875
Trace 104	3	-59869.6	40679.175	40679.175
Trace 106	0	-59797.125	40683.5625	40683.5625
Trace 106	1	-59795.9875	40683.075	40683.075
Trace 106	2	-59791.4375	40682.9125	40682.9125
Trace 106	3	-59786.8875	40682.425	40682.425
Trace 106	4	-59783.9625	40681.6125	40681.6125
Trace 106	5	-59782.3375	40680.9625	40680.9625
Trace 106	6	-59780.7125	40680.8	40680.8
Trace 106	7	-59780.225	40681.125	40681.125
Trace 106	8	-59779.25	40682.1	40682.1
Trace 106	9	-59777.7875	40681.775	40681.775
Trace 106	10	-59777.625	40680.475	40680.475
Trace 106	11	-59777.7875	40680.475	40680.475
Trace 106	12	-59777.1375	40682.2625	40682.2625
Trace 106	13	-59777.4625	40682.425	40682.425
Trace 106	14	-59777.625	40681.775	40681.775
Trace 106	15	-59776.325	40682.9125	40682.9125
Trace 106	16	-59775.025	40682.75	40682.75
Trace 107	0	-59845.55	40680.475	40680.475
Trace 107	1	-59845.55	40679.5	40679.5
Trace 107	2	-59841.325	40677.875	40677.875
Trace 107	3	-59840.025	40679.3375	40679.3375
Trace 107	4	-59839.375	40681.125	40681.125
Trace 107	5	-59834.825	40680.8	40680.8
Trace 107	6	-59835.3125	40681.2875	40681.2875
Trace 107	7	-59833.525	40682.1	40682.1
Trace 107	8	-59832.7125	40682.75	40682.75
Trace 107	9	-59831.25	40683.075	40683.075
Trace 107	10	-59828.8125	40682.2625	40682.2625
Trace 107	11	-59828.4875	40682.75	40682.75
Trace 107	12	-59828.65	40684.05	40684.05
Trace 107	13	-59827.1875	40682.9125	40682.9125
Trace 107	14	-59827.025	40683.2375	40683.2375
Trace 107	15	-59825.725	40682.5875	40682.5875
Trace 107	16	-59828.1625	40683.8875	40683.8875
